	Z	Ion	Initial Level	Final Level	Wavelength	Oscillator Strength	A Coefficient
22786	14	101	52	2	-4.806300e+01	7.332000e-03	3.528000e+09
22787	14	101	52	11	-6.340400e+01	3.857000e-03	1.067000e+09
22788	14	101	52	12	-6.683700e+01	2.589000e-06	6.442000e+05
22789	14	101	52	13	-6.683400e+01	5.591000e-05	1.391000e+07
22790	14	101	52	15	-7.044600e+01	1.374000e-05	3.077000e+06
22791	14	101	53	2	4.754500e+01	8.082000e-01	3.992000e+11
22792	14	101	53	11	6.246400e+01	4.628000e-05	1.327000e+07
22793	14	101	53	12	6.515400e+01	4.489000e-04	1.195000e+08
22794	14	101	53	13	6.515500e+01	7.757000e-03	2.065000e+09
22795	14	101	53	15	6.835900e+01	7.986000e-04	1.940000e+08
22796	14	101	54	2	-4.481300e+01	6.752000e-02	3.738000e+10
22797	14	101	54	11	-5.786800e+01	4.224000e-05	1.402000e+07
22798	14	101	54	12	-6.071400e+01	2.402000e-05	7.245000e+06
22799	14	101	54	13	-6.071100e+01	2.284000e-05	6.887000e+06
22800	14	101	54	15	-6.367700e+01	3.983000e-04	1.092000e+08
22801	14	101	55	2	-4.395400e+01	1.638000e-04	9.423000e+07
22802	14	101	55	11	-5.644400e+01	2.282000e-01	7.961000e+10
22803	14	101	55	12	-5.914800e+01	3.974000e-05	1.263000e+07
22804	14	101	55	13	-5.914500e+01	7.129000e-04	2.265000e+08
22805	14	101	55	15	-6.195700e+01	4.872000e-06	1.411000e+06
22806	14	101	56	2	-4.271800e+01	1.729000e-02	1.054000e+10
22807	14	101	56	11	-5.442100e+01	4.707000e-04	1.767000e+08
22808	14	101	56	12	-5.693100e+01	2.706000e-02	9.282000e+09
22809	14	101	56	13	-5.692800e+01	2.892000e-01	9.919000e+10
22810	14	101	56	15	-5.952800e+01	7.734000e-02	2.426000e+10
22811	14	101	57	2	-4.171200e+01	5.181000e-05	3.310000e+07
22812	14	101	57	11	-5.279900e+01	3.917000e-04	1.562000e+08
22813	14	101	57	12	-5.515800e+01	1.257000e-03	4.592000e+08
22814	14	101	57	13	-5.515600e+01	1.145000e-03	4.185000e+08
22815	14	101	57	15	-5.759300e+01	1.307000e-05	4.381000e+06
22816	14	101	58	2	-4.144300e+01	1.382000e-05	8.944000e+06
22817	14	101	58	11	-5.236800e+01	6.462000e-02	2.619000e+10
22818	14	101	58	12	-5.468800e+01	6.042000e-03	2.246000e+09
22819	14	101	58	13	-5.468600e+01	3.172000e-04	1.179000e+08
22820	14	101	59	2	-4.130300e+01	3.198000e-06	2.084000e+06
22821	14	101	59	11	-5.214500e+01	3.490000e-03	1.427000e+09
22822	14	101	59	12	-5.444500e+01	3.225000e-01	1.209000e+11
22823	14	101	59	13	-5.444300e+01	3.035000e-02	1.138000e+10
22824	14	101	59	15	-5.681600e+01	2.228000e-04	7.674000e+07
22825	14	101	60	2	4.102600e+01	6.009000e-05	3.982000e+07
22826	14	101	60	11	5.167600e+01	2.985000e+00	1.249000e+12
22827	14	101	60	13	5.350400e+01	1.682000e-03	6.617000e+08
22828	14	101	60	15	5.564600e+01	9.085000e-04	3.315000e+08
22829	14	101	61	2	-4.055200e+01	4.083000e-02	2.760000e+10
22830	14	101	61	11	-5.095300e+01	6.310000e-04	2.702000e+08
22831	14	101	61	12	-5.314700e+01	3.198000e-01	1.259000e+11
22832	14	101	61	13	-5.314500e+01	1.256000e+00	4.942000e+11
22833	14	101	61	15	-5.540400e+01	5.971000e-01	2.162000e+11
22834	14	101	62	2	-4.022000e+01	3.081000e-02	2.118000e+10
22835	14	101	62	11	-5.043100e+01	1.824000e-03	7.972000e+08
22836	14	101	62	12	-5.257800e+01	2.558000e-01	1.029000e+11
22837	14	101	62	13	-5.257700e+01	8.899000e-01	3.579000e+11
22838	14	101	62	15	-5.478700e+01	1.362000e+00	5.045000e+11
22839	14	101	63	2	-4.012200e+01	6.398000e-03	4.418000e+09
22840	14	101	63	11	-5.027700e+01	1.504000e-04	6.616000e+07
22841	14	101	63	12	-5.241100e+01	3.645000e+00	1.475000e+12
22842	14	101	63	13	-5.240900e+01	1.334000e-01	5.400000e+10
22843	14	101	63	15	-5.460500e+01	3.414000e-01	1.273000e+11
