	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
3840	14	101	5	142	2	1	4	2	1.829990e+03	4.010000e+02	1s1.2s1.2p3.4P_1/2
3841	14	101	5	143	2	1	4	6	1.830000e+03	4.010000e+02	1s1.2s1.2p3.4P_5/2
3842	14	101	5	144	2	2	2	4	1.840030e+03	4.010000e+02	1s1.2s1.2p3.2D_3/2
3843	14	101	5	145	2	2	2	6	1.840080e+03	4.010000e+02	1s1.2s1.2p3.2D_5/2
3844	14	101	5	146	2	1	2	4	1.845410e+03	4.010000e+02	1s1.2s1.2p3.2P_3/2
3845	14	101	5	147	2	0	4	4	1.846900e+03	4.010000e+02	1s1.2s1.2p3.4S_3/2#2
3846	14	101	5	148	2	1	2	2	1.846960e+03	4.010000e+02	1s1.2s1.2p3.2P_1/2
3847	14	101	5	149	2	2	2	6	1.849570e+03	4.010000e+02	1s1.2s1.2p3.2D_5/2#2
3848	14	101	5	150	2	2	2	4	1.849660e+03	4.010000e+02	1s1.2s1.2p3.2D_3/2#2
3849	14	101	5	151	2	1	2	2	1.856300e+03	4.010000e+02	1s1.2s1.2p3.2P_1/2#2
3850	14	101	5	152	2	1	2	4	1.856560e+03	4.010000e+02	1s1.2s1.2p3.2P_3/2#2
3851	14	101	5	153	2	0	2	2	1.857760e+03	4.010000e+02	1s1.2s1.2p3.2S_1/2
3852	14	101	5	154	2	1	4	6	1.864760e+03	4.010000e+02	1s1.2p4.4P_5/2
3853	14	101	5	155	2	1	4	4	1.865340e+03	4.010000e+02	1s1.2p4.4P_3/2
3854	14	101	5	156	2	1	4	2	1.865660e+03	4.010000e+02	1s1.2p4.4P_1/2
3855	14	101	5	157	2	2	2	4	1.875800e+03	4.010000e+02	1s1.2p4.2D_3/2
3856	14	101	5	158	2	2	2	6	1.875880e+03	4.010000e+02	1s1.2p4.2D_5/2
3857	14	101	5	159	2	1	2	4	1.878730e+03	4.010000e+02	1s1.2p4.2P_3/2
3858	14	101	5	160	2	1	2	2	1.879310e+03	4.010000e+02	1s1.2p4.2P_1/2
3859	14	101	5	161	2	0	2	2	1.890560e+03	4.010000e+02	1s1.2p4.2S_1/2
3860	14	101	5	163	2	0	2	1	4.010000e+02	4.010000e+02	continuum
3861	14	101	5	126	12	0	1	1	3.982150e+02	4.010000e+02	superlevel
3862	14	101	5	162	1	0	0	1	1.915490e+03	-1.514490e+03	superlevel_[K]
