	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature (eV)	Rate
6726	14	101	1	100	47	12	0	2	1.084859e+00	3.881501e-10
6727	14	101	1	100	47	12	0	2	1.365756e+00	3.382128e-10
6728	14	101	1	100	47	12	0	2	1.719386e+00	2.983321e-10
6729	14	101	1	100	47	12	0	2	2.164578e+00	2.640465e-10
6730	14	101	1	100	47	12	0	2	2.725042e+00	2.317236e-10
6731	14	101	1	100	47	12	0	2	3.430624e+00	1.998482e-10
6732	14	101	1	100	47	12	0	2	4.318899e+00	1.689545e-10
6733	14	101	1	100	47	12	0	2	5.437176e+00	1.409580e-10
6734	14	101	1	100	47	12	0	2	6.844998e+00	1.181626e-10
6735	14	101	1	100	47	12	0	2	8.617340e+00	1.019131e-10
6736	14	101	1	100	47	12	0	2	1.084859e+01	9.164315e-11
6737	14	101	1	100	47	12	0	2	1.365756e+01	8.511386e-11
6738	14	101	1	100	47	12	0	2	1.719386e+01	7.981777e-11
6739	14	101	1	100	47	12	0	2	2.164578e+01	7.404575e-11
6740	14	101	1	100	47	12	0	2	2.725042e+01	6.732872e-11
6741	14	101	1	100	47	12	0	2	3.430624e+01	6.014501e-11
6742	14	101	1	100	47	12	0	2	4.318899e+01	5.327207e-11
6743	14	101	1	100	47	12	0	2	5.437176e+01	4.726073e-11
6744	14	101	1	100	47	12	0	2	6.844998e+01	4.219883e-11
6745	14	101	1	100	47	12	0	2	8.617340e+01	3.779203e-11
6746	14	101	1	100	47	12	0	2	1.084859e+02	3.361242e-11
6747	14	101	1	100	47	12	0	2	1.365756e+02	2.942391e-11
6748	14	101	1	100	47	12	0	2	1.719386e+02	2.517677e-11
6749	14	101	1	100	47	12	0	2	2.164578e+02	2.100874e-11
6750	14	101	1	100	47	12	0	2	2.725042e+02	1.710409e-11
6751	14	101	1	100	47	12	0	2	3.430624e+02	1.360816e-11
6752	14	101	1	100	47	12	0	2	4.318899e+02	1.061451e-11
6753	14	101	1	100	47	12	0	2	5.437176e+02	8.141414e-12
6754	14	101	1	100	47	12	0	2	6.844998e+02	6.156019e-12
6755	14	101	1	100	47	12	0	2	8.617340e+02	4.602567e-12
6756	14	101	1	100	47	12	0	2	1.084859e+03	3.408005e-12
6757	14	101	1	100	47	12	0	2	1.365756e+03	2.504955e-12
6758	14	101	1	100	47	12	0	2	1.719386e+03	1.830205e-12
6759	14	101	1	100	47	12	0	2	2.164578e+03	1.330453e-12
6760	14	101	1	100	47	12	0	2	2.725042e+03	9.636073e-13
6761	14	101	1	100	47	12	0	2	3.430624e+03	6.956641e-13
6762	14	101	1	100	47	12	0	2	4.318899e+03	5.010715e-13
6763	14	101	1	100	47	12	0	2	5.437176e+03	3.600811e-13
6764	14	101	1	100	47	12	0	2	6.844998e+03	2.583449e-13
6765	14	101	1	100	47	12	0	2	8.617340e+03	1.850545e-13
6766	14	101	1	100	47	12	0	2	1.084860e+04	1.324341e-13
6767	14	101	1	100	47	12	0	2	1.365756e+04	9.464550e-14
6768	14	101	1	100	47	12	0	2	1.719386e+04	6.759270e-14
6769	14	101	1	100	47	12	0	2	2.164576e+04	4.823921e-14
6770	14	101	1	100	47	12	0	2	2.725042e+04	3.439537e-14
6771	14	101	1	100	47	12	0	2	3.430628e+04	2.451317e-14
6772	14	101	1	100	47	12	0	2	4.318899e+04	1.745821e-14
6773	14	101	1	100	47	12	0	2	5.437176e+04	1.242511e-14
6774	14	101	1	100	47	12	0	2	6.844990e+04	8.840968e-15
6775	14	101	1	100	47	12	0	2	8.617340e+04	6.286370e-15
