	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
3780	14	101	5	81	3	0	2	2	2.88894012e+02	4.01000000e+02	2s0.2p2.3p1.2S_1/2
3781	14	101	5	82	3	2	4	2	2.90183014e+02	4.01000000e+02	2s0.2p2.3p1.4D_1/2
3782	14	101	5	83	3	1	4	2	2.91651001e+02	4.01000000e+02	2s0.2p2.3p1.4P_1/2
3783	14	101	5	84	3	1	2	2	2.95641998e+02	4.01000000e+02	2s0.2p2.3p1.2P_1/2
3784	14	101	5	85	3	1	2	2	3.04112000e+02	4.01000000e+02	2s0.2p2.3p1.2P_1/2#2
3785	14	101	5	86	3	1	2	2	3.14729004e+02	4.01000000e+02	2s0.2p2.3p1.2P_1/2#3
3786	14	101	5	87	3	1	2	4	2.34664993e+02	4.01000000e+02	2p0.3p1.2P_3/2
3787	14	101	5	88	3	1	4	4	2.47261993e+02	4.01000000e+02	2s1.2p1.3s1.4P_3/2
3788	14	101	5	89	3	1	2	4	2.52309006e+02	4.01000000e+02	2s1.2p1.3s1.2P_3/2
3789	14	101	5	90	3	3	4	4	2.63042999e+02	4.01000000e+02	2s1.2p1.3d1.4F_3/2
3790	14	101	5	91	3	2	4	4	2.65330994e+02	4.01000000e+02	2s1.2p1.3d1.4D_3/2
3791	14	101	5	92	3	2	2	4	2.66912994e+02	4.01000000e+02	2s1.2p1.3d1.2D_3/2
3792	14	101	5	93	3	1	4	4	2.67954010e+02	4.01000000e+02	2s1.2p1.3d1.4P_3/2
3793	14	101	5	94	3	1	2	4	2.67487000e+02	4.01000000e+02	2s1.2p1.3s1.2P_3/2#2
3794	14	101	5	95	3	1	2	4	2.72553009e+02	4.01000000e+02	2s1.2p1.3d1.2P_3/2
3795	14	101	5	96	3	2	2	4	2.86348999e+02	4.01000000e+02	2s1.2p1.3d1.2D_3/2#2
3796	14	101	5	97	3	1	2	4	2.88654999e+02	4.01000000e+02	2s1.2p1.3d1.2P_3/2#2
3797	14	101	5	98	3	2	4	4	2.90373993e+02	4.01000000e+02	2s0.2p2.3p1.4D_3/2
